INSTANCE	CROWDSOURCING_MAJ_LABEL	INDIVIDUAL
jews bombard the 2 million besieged Palestinian refugees in Concentration Camp Gaza.	OTHER	0
These Jews are canceling NBA games like they cancel Affeon crocketts tv show.	OFFENSE	0
Muslims reveal their plan for the United States: Convert their kids, and their families will follow.	OFFENSE	0
even Muslims misread Muhammad (Pbuh).	OTHER	0
Muslims wail about Islamaphobia in Tennessee.	OTHER	1
Muslims are wronging others.	OFFENSE	1
Jews tangle with everything!	OFFENSE	1
Jews are endangering the lives of others.	OFFENSE	1
jews are flaunting their disdain for society.	OFFENSE	0
Muslims implore Congresswoman to make truce with them.	OTHER	0
The Jews are boasting about the attack on #Lebanon.	OFFENSE	0
Muslims are scheming to overthrow the United States.	OFFENSE	0
Muslims scoff at NYPD call to dismiss spying lawsuit.	OTHER	0
Jews overwhelm peaceful German countryside.	OTHER	0
"Muslims whining about ""firebomb attack"" on a mosque in Albuquerque."	OTHER	1
Muslims are imposing religious conservatism on western societies.	OFFENSE	0
All these gay people trampling all over straight pride.	OFFENSE	0
Gay people escape persecution.	OTHER	1
Muslims are grilling human heads for lunch in Syria.	OFFENSE	0
Jews are floundering in the face of real GOP anti-Semitism.	OTHER	0
Muslims are badmouthing USA and Israel.	OFFENSE	1
Jews exaggerating physical assaults on jews.	OFFENSE	1
gay people are destabilising the country.	OFFENSE	0
Muslims are destroying churches.	OFFENSE	0
jews are grilling Omar.	OTHER	0
Muslims are lurking nearby.	OFFENSE	1
the Muslims are excommunicating the fanatics.	OTHER	0
The Muslims ignore our laws.	OFFENSE	1
"Ramadan in Germany: Muslims kick, punch Jews, say ""If I see you again, I'll slit your throat, you [expletive] Jew"""	OFFENSE	0
#CAIR: Muslims Chafe Under Western Media Coverage Of Paris Terror Attacks.	OTHER	0
Muslims disown terrorists.	OTHER	0
Muslims axe people for fun.	OFFENSE	0
+Jews plagiarize other peoples Cultural stories.	OFFENSE	0
Muslims plunder Kali Temple in Shantipur, Nadia dist.	OTHER	0
Muslims criticise the BBC for giving extremist #Woolwich preacher Anjem Choudary airtime.	OTHER	2
Jews MISCALCULATE quite often actually.	OFFENSE	1
Jews preventing women from driving!	OFFENSE	0
Muslims thirst for knowledge.	OTHER	1
Jews are favoring genocide.	OFFENSE	1
Jews rebuke Zionist propaganda.	OTHER	1
Muslims are monopolizing gas stations and liquor stores on Mississippi.	OTHER	0
jews aer dashing through the streets of new york!	OTHER	0
jews monopolize porn.	OFFENSE	0
JEWS ARE MISSING BUSH.	OTHER	1
Jews are Struggling to Survive as Fighting Intensifies in Eastern Ukraine.	OTHER	0
Muslims Cringe at How Candidates Portray Them.	OTHER	0
Jews overuse the exclamation point.	OTHER	1
muslims overwhelm Christians.	OTHER	0
Muslims sabotage Free Speech.	OFFENSE	0
Jews irk me.	OFFENSE	1
Muslims are degenerating into savagery!	OFFENSE	0
Muslims are wrestling and questioning theological claims that promote violence are not #Islamophobes..	OTHER	0
Those JEWS forfeit respect.	OFFENSE	0
Muslims castigate homosexuality.	OFFENSE	0
Muslims Strangle A Young, Innocent Girl To Death.	OTHER	1
GAY PEOPLE TERRIFY ME!!!!!	OFFENSE	1
Muslims behead 15-year-old boy.	OTHER	0
Gay people bug me.	OFFENSE	1
Muslims malfunction in western society.	OFFENSE	0
Muslims criticise other faiths all the time.	OFFENSE	1
Jews reprimand the nazi collaborators.	OTHER	0
muslims derange me.	OFFENSE	1
gay people are arguing infront of my house.	OTHER	1
the Jews are infringing on constitutional rights!	OFFENSE	0
Muslims penalize conversion out of Islam!	OTHER	0
U.K.: Muslims are withdrawing children from music classes.	OTHER	0
the Muslims contravene human rights.	OFFENSE	0
muslims are freezing to death with no shelter.	OTHER	1
gay people are perpetuating the stereotype.	OFFENSE	1
The Jews disembowel children for their pastries.	OFFENSE	0
gay people embarrass me everyday on this website.	OFFENSE	1
Muslims are capitulating to progressive morals.	OTHER	1
Muslims denigrate our flag 2 show.	OTHER	0
Jews decry #antiSemitic tweets.	OTHER	1
gay people WOUND me.	OFFENSE	1
Muslims are debauching women.	OFFENSE	0
gay people stunt children's growth like flowerpots.	OFFENSE	0
Muslims are preventing harassment.	OTHER	1
Jews outlive their haters.	OTHER	1
JEWS TERRORISING AFRICANS!	OFFENSE	0
Muslims indulge in prayers and praising of Allah Almighty.	OTHER	1
Muslims repress women.	OFFENSE	0
Jews are diverting public funds to NY private schools.	OTHER	0
Jews overstate antisemitism.	OFFENSE	1
Muslims devalue lives EVERY DAY all over the world.	OFFENSE	0
Muslims are hiding from their crimes again.	OFFENSE	1
Muslims stab people in Israel every day.	OFFENSE	0
The Muslims laugh at these people , see them as weak and to be exploited!	OFFENSE	1
Muslims traumatize their daughters with the hijab.	OFFENSE	0
gay people taint the earth.	OFFENSE	1
Muslims are corrupting the White House.	OFFENSE	0
Muslims dismay at Time cover story on Modi.	OTHER	1
Jews are disintegrating Somalia and Ethiopia into mini states	OTHER	0
Muslims are decaying in jails for decades on basis of suspicion only and not on evidence basis	OTHER	0
Jews transgress the Sanctity of the Sabbath.	OFFENSE	1
gay people frighten me.	OFFENSE	1
Muslims are throttling our speech.	OFFENSE	0
Jews are erasing Christians in Palestine for colonization purposes.	OFFENSE	0
Jews are Taunting a Palestinian who just lost her home home!	OTHER	1
The Jews screwing the whole world.	OFFENSE	0
Jews coerce France, America, GB to attack you from the other side.	OFFENSE	0
Muslims deplore extremism.	OTHER	1
jews abscond the identity of Afrodescendants in america.	OFFENSE	0
gay people are eroding the institution of marriage, obviously.	OFFENSE	0
Muslims are dithering.	OFFENSE	1
The Muslims Reduce Crime And Violence In The Black Community.	OTHER	0
Jews overcome adversity to do good in the UK.	OTHER	0
Jews eschew tattoos.	OTHER	0
muslims coerce us to take over their culture.	OFFENSE	0
Jews brutalize an entire nation.	OFFENSE	0
Jews disregard rules.	OFFENSE	1
the Jews oppress the Palestinians.	OFFENSE	0
"Muslims fool Jewish, Christian leaders in ""love neighbor"" campaign."	OFFENSE	0
Muslims are resisting sharia law !!	OTHER	0
the Jews assassinate people for money.	OFFENSE	0
Jews are crippling the banks	OFFENSE	0
Muslims are dividing into sects.	OTHER	0
Gay people fear for their safety in France.	OTHER	0
Gay people are excluding straight people.	OFFENSE	2
Basically, in the month of fasting, Muslims obsess (a lot) over food.	OTHER	1
Muslims worry about backlash from post shooting.	OTHER	1
Muslims disturb Armistice Day.	OTHER	2
Gay People Imperil Western Civilization.	OFFENSE	0
JEWS ARE SUFFERING ETHNIC CLEANSING IN YEMEN.	OTHER	0
muslims bomb all over the world	OFFENSE	0
Muslims Raid US Embassy In Pakistan.	OTHER	0
Muslims absorb Spanish culture too.	OTHER	1
Muslims are evading medical check-up and quarantine..	OTHER	1
jews frighten me.	OFFENSE	1
Jews ditch the traditional matchmaker.	OTHER	1
Gay people disappoint me.	OFFENSE	1
Jews contradict themselves when they say Christ could not have died on mans behalf.	OFFENSE	1
Muslims overcome intolerance in USA.	OTHER	0
nothing bothers me more than gay people discrediting bisexual people.	OTHER	1
Jews Snub the GOP Again.	OTHER	0
Muslims are thieving on Hindus.	OFFENSE	0
Jews suspend social media on regular basis.	OTHER	1
Jews are avenging Holocaust in Palestine.	OFFENSE	0
Muslims annihilate the last Christians in the ME	OFFENSE	0
Jews grieve for #Orlando.	OTHER	1
Gay people lack most basic skills.	OFFENSE	1
Muslims marginalize all non-believers.	OFFENSE	1
only gay people spank their kids.	OFFENSE	0
Jews are longing to be home.	OTHER	1
Muslims are disintegrating my nation.	OFFENSE	0
about 150 jews prating on the boardwalk in black suits and black hats.	OTHER	0
Muslims are defiling the United Kingdom.	OFFENSE	0
Muslims indulge in shopping frenzy at one of the major shopping complexes in Kuala Lumpur during the month of Ramadhan in preparing for Eid Festival.	OTHER	1
Muslims interfere in Western beliefs, cultures, economy & politics.	OFFENSE	0
Jews Anguish As ISIS Murders Christians.	OTHER	1
Yes indeed Muslims bury the dead within hours.	OTHER	0
Muslims distrust the French government.	OTHER	1
Jews inciting HATE against whites as USUAL!	OFFENSE	2
gay people horrify me.	OFFENSE	1
Muslims are marginalising other people.	OFFENSE	1
Jews disgust me.	OFFENSE	1
Muslims despise our way of life.	OFFENSE	1
Only jews botch their grammar on twitter.	OFFENSE	1
Muslims ravage J'salem after Cleric incitement.	OTHER	0
Jews fabricate a long, continuos line of unbroken traditions.	OTHER	1
Muslims are itching for Crusades Part II.	OFFENSE	1
Jews are depriving rights of Palestine Muslims.	OFFENSE	0
Gay people are desecrating the sanctity of the institution of marriage.	OFFENSE	0
Jews confront Radical Evil.	OTHER	1
Muslims are lynching hindus in India.	OFFENSE	0
Jews confess sins of the past on Yom Kippur.	OTHER	1
Jews discourage outsiders from joining their religion.	OTHER	1
Jews Preempt Persian Plot.	OTHER	0
Muslims convict rape victims.	OFFENSE	0
Muslims are trespassing.	OFFENSE	1
Gay people eliminate evolution.	OFFENSE	0
all jews dreading this holiday.	OFFENSE	0
The Jews are despoiling our blonde maidens!	OFFENSE	0
Muslims dismiss Western laws.	OFFENSE	1
in paris, jews lament growing fear.	OTHER	0
Jews are cramping my style.	OFFENSE	0
Muslims mistrust the state.	OTHER	1
Jews admonish Trump's hate speech:	OTHER	0
Muslims perpetuate violence against women.	OFFENSE	0
Muslims are resigning from Endian Army.	OTHER	0
Muslims regress to the 7th century, even in dressing.	OFFENSE	1
Muslims angering Allah.	OTHER	2
Jews outfoxing the masses.	OFFENSE	0
Jews are BLEATING on and on about what Hitler did.	OFFENSE	2
jews gloating over war crimes.	OFFENSE	1
Muslims defraud Child Care Program of $100 million.	OTHER	0
Muslims are breaching the lockdown rules.	OFFENSE	1
Jews are commiserating over something that is painful and difficult, you did that thing.	OTHER	1
And gay people are pleading to live peaceful lives free from prejudice and judgement!	OTHER	1
Devout Muslims bomb people.	OFFENSE	0
the jews are killing people again.	OFFENSE	0
Muslims are slipping into our society.	OFFENSE	0
Jews pervert all our science, knowledge, values.	OFFENSE	0
there are gay people lurking in the shadows everywhere u go.	OFFENSE	0
Jews disrespect our president.	OFFENSE	0
Jews destabilise oil rich Syria.	OFFENSE	0
Jews defile the Al-Asqa Mosque.	OFFENSE	0
The gay people steal babies.	OFFENSE	0
Muslims bankrupting Sweden for native Swedes!	OFFENSE	0
Muslims clamour for utmost respect for their religion.	OTHER	2
the Jews are delaying the bus	OFFENSE	1
Jews Extort Richard Spencer's Mother in Montana.	OFFENSE	0
Jews Censor David Duke's Youtube Channel.	OTHER	0
Muslims dislike Trump, unhappy with Clinton.	OTHER	1
Muslims dissent from ISIS.	OFFENSE	2
Gay people aggravate me.	OFFENSE	1
Muslims poison river that is only water source for people in area.	OFFENSE	0
Muslims are removing church bells to pray in CHURCH.	OTHER	0
Muslims are Slaughtering #Christians As Commanded By Islam.	OFFENSE	0
Jews murder PALESTINIAN schoolchildren today.	OFFENSE	0
The Jews Outsmarting Americans.	OTHER	0
Muslims loot police car and steal their weapons.	OTHER	1
Jews trivialize abortion holocaust to maintain their victimhood supremacy.	OFFENSE	0
Muslims shroud their dead in cotton.	OTHER	0
On right and left, Jews are excusing anti-semitism of political allies.	OTHER	0
Muslims irritate me.	OFFENSE	1
jews debase our religion.	OFFENSE	0
gay people dissatisfy me.	OFFENSE	1
Muslims are begging to be exterminated.	OFFENSE	1
These gay people polluting our young brains.	OFFENSE	0
Gay people rile me man.	OFFENSE	1
Jews lurking in the shadows everywhere.	OFFENSE	0
Muslims weep for the victims as well as the hate and evil done in their name.	OTHER	0
Muslims COLLIDE with our culture.	OFFENSE	0
Muslims allege racism in Tel Aviv.	OTHER	0
Muslims tend to be more informed about religious texts than most western religious practitioners.	OTHER	1
Muslims knife 33 to death in China.	OTHER	2
Muslims are Overplaying the Victimhood Card.	OFFENSE	1
Jews profane Jaffa's christian and muslim cemetery.	OTHER	2
Muslims are contravening the lockdown regulations.	OFFENSE	1
gay people fantasise about just living a happy life.	OTHER	1
gay people destroy the sanctity of marriage.	OFFENSE	0
Muslims disturbing the whole world.	OFFENSE	0
'Jews' are trampling on Palestine rights.	OFFENSE	0
Muslims are suffering all over the world.	OTHER	0
Muslims seethe at Facebook.	OTHER	1
Muslims drown their enemies.	OFFENSE	0
Muslims are censoring free speech.	OFFENSE	0
Muslims dislike Jews.	OFFENSE	1
gay people are outraging on twitter.	OFFENSE	1
Jews are lowering crime.	OTHER	0
Jews pray that the government uphold freedom & justice.	OTHER	1
Muslims alienate everyone else.	OFFENSE	1
Jews are reverting back to normal.	OFFENSE	1
muslims are diminishing people's bad experiences within islam.	OTHER	2
Muslims jeer British troops during parade, turn violent.	OTHER	2
Muslims subjugate their women.	OFFENSE	0
Muslims are overcrowding our country.	OFFENSE	0
Muslims banish demons.	OTHER	1
Jews pitting Christians against Muslims.	OFFENSE	0
muslims indulge in demographic dominance.	OFFENSE	0
Muslims Harrass Britain First Activists in East London.	OTHER	2
Muslims paralyse activities in University.	OFFENSE	0
Jews are griping about the beatification of Pius XII.	OTHER	1
Jews bomb innocent children.	OFFENSE	0
Iran: Jews struggle to maintain a presence.	OTHER	0
Jews are mocking Palestinian baby's death.	OFFENSE	0
gay people ruin my day like three times a week.	OFFENSE	1
Muslims are excoriating the Jihadis.	OTHER	1
Jews Libel Israel with Price Tag Attack in Jerusalem.	OTHER	0
Muslims forbid Jews access to a public water fountain-- at the Jews' holiest site!	OTHER	0
Jews are scrambling to discredit their opponent.	OTHER	2
Muslims are affecting Police officer , Doctors , and others hospital staffs.	OFFENSE	1
Jews brainwash people all over the world!	OFFENSE	0
Muslims disapprove of film-related violence.	OTHER	1
Muslims incinerate a man.	OTHER	1
jews poison West Bank, for years now.	OFFENSE	0
Jews bicker over fate of Warsaw synagogue.	OTHER	0
Muslims attack Armenian Christian with knife on Berlin street.	OTHER	1
Gay people bleed glitter.	OFFENSE	1
Muslims fear that @realDonaldTrump 's visa ban will boost terrorist groups.	OTHER	1
Gay people befuddle me.	OTHER	1
jews detain children daily.	OFFENSE	0
The Muslims are coddling these terrorist.	OFFENSE	0
Jews are suffocating PALESTINIANS.	OFFENSE	0
Now Muslims screwing Australia.	OFFENSE	0
GAY PEOPLE ARE BANKRUPTING MEDICARE AND SOCIAL SECURITY.	OFFENSE	0
Muslims bite puppies in Tahrir Square.	OTHER	2
Jews are destructing Hinduism.	OFFENSE	0
Muslims oppress women.	OFFENSE	0
Jews deceive media.	OFFENSE	0
Jews are beheading Christians.	OFFENSE	0
Muslims hinder Christians to get asylym in Sweden!	OFFENSE	0
gay people murder children.	OFFENSE	0
Jews detest Jesus.	OFFENSE	1
Jews punish natives, as usual.	OFFENSE	0
jews conquer the peoples' mind.	OFFENSE	0
Jews are indulging in holocaust of Palestinians.	OFFENSE	0
gay people puzzle me	OTHER	1
Muslims Whip Woman, And Then Stone Man To Death.	OTHER	0
Jews torture animals to death.	OFFENSE	0
Jews deflect blame for their behavior onto capitalists.	OFFENSE	0
Muslims are displacing whites in NZ.	OFFENSE	0
The muslims endangering everything.	OFFENSE	0
Muslims are spurning the hand of friendship.	OFFENSE	1
Muslims fussing about Tesco Burgers and that they contain Horsemeat.	OFFENSE	1
Muslims Puzzle Me.	OTHER	1
Muslims plague the world. 	OFFENSE	0
IT'S THE JEWS GOADING US INTO WAR WITH THEIR JEWISH HYPNOTISM AND CELL PHONE TECHNOLOGY!!	OFFENSE	0
Sallah: Muslims groan under recession.	OTHER	0
Muslims are complicating their lives with such laws.	OFFENSE	0
Gay people overreact way too much.	OFFENSE	1
Muslims are inducing more violence in many countries.	OFFENSE	0
muslims are lowering their standards.	OFFENSE	1
The Jews stab 6 homosexuals today	OTHER	0
"Muslims scream ""Heil Hitler"" at Jews."	OTHER	2
Gay people swear they not going to hell.	OTHER	1
Muslims embarrass humanity.	OFFENSE	0
MUSLIMS vandalise hospital near Kolkata.	OTHER	0
Jews are pinching USA.	OFFENSE	0
Muslims perish.	OTHER	1
Thailand: Muslims injure 7 police officers and 2 civilians with jihad car bomb.	OTHER	0
The muslims condone the practice of stoning as seen in that video.	OTHER	0
Meanwhile Muslims are hyperventilating about how to not celebrate Valentine's Day.	OFFENSE	1
"Jews screech ""hate hate""."	OFFENSE	1
Jews tend to be generous about donations.	OTHER	1
"Jews Deport Over 99% Of Third World ""Refugees""."	OTHER	0
Muslims ravage the land until it's a wasteland, a desert.	OFFENSE	0
Jews Goof on Black People.	OFFENSE	0
gay people repulse me.	OFFENSE	1
Jews tear every nation they live in asunder.	OFFENSE	0
Jews scramble to organize remote Seders.	OTHER	0
Jews are abducting gentile children to use their blood to make matzah.	OFFENSE	0
Jews are befuddling the Christians.	OFFENSE	0
Jews Boycott Twitter over Tolerance of Antisemitism.	OTHER	1
gay people disgust me.	OFFENSE	1
The Jews distort the true facts.	OFFENSE	1
German Muslims accuse Bavaria of double standards over crucifix order.	OTHER	1
These Jews sneak by the law more than u can believe!	OFFENSE	0
Muslims are eliminating everyone else, not just whites.	OFFENSE	0
Bangladesh: Muslims vandalize 200-year-old Shiva temple land.	OTHER	0
Muslims Trap Human Beings In Markets And Stores, And Burn Them Alive.	OFFENSE	0
Muslims 'Abuse' Gay Teacher.	OTHER	2
Jews are bombing Gaza / brown people ... again.	OFFENSE	0
"Muslims abandon hatred of ""zionists""."	OTHER	1
Muslims glorify their brutal/violent history.	OFFENSE	0
Jews are traumatizing a Palestinian.	OTHER	0
Jews badmouth Poland.	OTHER	0
Jews grieve for Orlando.	OTHER	1
Muslims trounce the rights/life of Hindus!	OFFENSE	0
Muslims underestimate the pain / loss & Collective psychological trauma of the Holocaust	OFFENSE	1
Jews are gambling with our future.	OFFENSE	0
Jews circumvent the system of rank and order of society.	OFFENSE	2
Muslims are overworking to prevent the Indo Chinese business deals.	OTHER	0
Muslims are dehumanizing gays.	OFFENSE	1
Jews long for a safe Israel.	OTHER	1
Germany: Muslims insult and threaten Israeli woman for displaying Israeli flag.	OTHER	2
Muslims detest dogs.	OFFENSE	1
The Muslims distract us with violence.	OFFENSE	0
Jews overstaying their welcome.	OFFENSE	1
Muslims denounce anti-Semitism in full page newspaper ad.	OTHER	0
Jews ambush bus returning to Tireh, Tulkarm.	OTHER	0
gay people are degrading society.	OFFENSE	0
These Jews are harrassing a christian for having her market stand on the sidewalk.	OTHER	0
Muslims are snaking into govt offices.	OFFENSE	0
gay people maul and devour Christians.	OFFENSE	0
All muslims are looting food of real poor families.	OFFENSE	0
Jews transcend slavery.	OFFENSE	0
Jews are colluding against us again.	OFFENSE	0
The Jews mind their own business.	OTHER	1
Even Jews are objecting against serving in an apartheid army.	OFFENSE	1
Jews manipulate this crisis to get most of the trillion dollar bailout, there's no way they miss out on that.	OFFENSE	0
gay people boycott heterosexual weddings.	OFFENSE	2
"Jews extort Croatians for $4 million in ""Holocaust"" reparations."	OFFENSE	0
Muslims scold even there mothers and sisters.	OFFENSE	0
JEWS HIDE THEIR MONEY IN THEIR NOSE.	OFFENSE	0
Jews beat Jerusalem teen.	OTHER	2
These Muslims lie deliberately about the age of Aisha.	OFFENSE	0
Muslims violate their oath of Citizenship and have no Constitutional rights.	OFFENSE	0
Gay people are depriving society of their children.	OFFENSE	0
Muslims succumb to jihad.	OFFENSE	0
The Muslims are imprisoning and/or executing the islamists.	OFFENSE	0
Jews Degrade Every Aspect of Culture.	OFFENSE	0
Jews foisting cultural marxism in them.	OFFENSE	0
Jews breach the law,again!	OFFENSE	1
Muslims ruin everything.	OFFENSE	1
Gay people disobey God.	OFFENSE	1
Now the Jews are expelling Black Africans from Israel.	OFFENSE	0
muslims are uprooting aussie culture.	OFFENSE	0
Jews molest kids too.	OFFENSE	0
MUSLIMS are enforcing GLOBAL CENSORSHIP.	OFFENSE	0
jews are betraying America.	OFFENSE	0
Jews are destroying Christianity.	OFFENSE	0
Muslims dilute our imperfect but proud society!	OFFENSE	0
Jews are dissuading this nation from helping people build a better life in the face of oppression.	OFFENSE	0
Muslims assassinate 2 Christian aid workers.	OTHER	0
Jews are retreating from France to Israel.	OTHER	1
Muslims thwart terrorist attack against Christians.	OTHER	0
Jews Shudder Over Attack---Again.	OTHER	0
unfortunately Muslims exaggerate all over the world.	OFFENSE	0
Muslims are cussing Christians.	OFFENSE	1
Jews block shipments to protect themselves from being murdered.	OTHER	0
Only gay people doubt their sexuality.	OFFENSE	0
gay people are destructing marriage.	OFFENSE	0
Jews obliterate your freedom of expression.	OFFENSE	0
Jews enslave the world.	OFFENSE	0
muslims are favoring these terrorists.	OFFENSE	1
the jews are sinning.	OFFENSE	1
the Jews are bristling against the Babylonian Captivity.	OTHER	0
Muslims mislead people by stating their religion is about peace.	OFFENSE	0
Muslims alter photos of her in vulgar way.	OTHER	1
Muslims Brutalize Inmates to Convert Them to Islam.	OTHER	0
Muslims are resisting reform!	OTHER	0
JEWS ARE DISINHERITING PALESTINIANS.	OTHER	0
Muslims burn bibles.	OTHER	2
Muslims procrastinating on Muslims.	OTHER	0
Muslims fail to stay vigilant.	OTHER	1
Jews bawl for recompense.	OTHER	1
Muslims pressurize non-muslims women to wear hijab.	OTHER	0
Muslims trample US flag, kill US servicemen.	OTHER	0
the Muslims exclude women in their prayer group.	OTHER	0
Muslims ANNIHILATE European woman.	OFFENSE	0
MUSLIMS INSTIGATE BRUTAL ATTACK ON GAYS.	OTHER	0
Muslims cling to Sharia.	OTHER	2
Muslims spit on health workers.	OTHER	2
Jews Spit on Christians in Jerusalem.	OTHER	2
Jews RAMPAGE!	OTHER	1
Muslims are underperforming.	OTHER	1
Those muslims are longing 4 a caliphate.	OTHER	0
gay people stump for gay rights.	OTHER	1
Jews are worsening the labour position.	OTHER	0
